,Actress_Name,actress_link,Available_photos,Available_videos,Rank,Profile_views,Video_views,Subscribers,Country,Age,Eye,Hair,Height,Weight,Cup,Measurements,Alias,Official_website,Twitter,Instagram,Bio
763,Danica Dillan,https://www.eporner.com/pornstar/danica-dillan/,8,83,766,302692,5462090,6,USA,36,Hazel,Brunette,"160 cm / 5'3""",53 kg / 117 lbs,B,34B-27-32,"Danica,Danica ATK,Danica Dillon,Danica FTV",http://www.dreamlover.com/danicadillon,,,"The year 2009 may have been so long ago, but it was the year Danica Dillan started working as an adult actress. Right before her big debut, she was a stripper in San Diego. She got advice from an already established adult actress who said she should give porn films a try. After the night ended, Danica decided to try it out, and she did quite well for herself. Her acceptance and resolution to do pornography is surprising, considering she never watch porn at all until after she starred in her first scene. Danica was born on January 4th, 1987, so she was 21 when she starred in her first adult film. Producers took to Danica, because of her spunky blonde hair and deep brown eyes. Her body was fit from working as a stripper, and she has 34B-27-32 and B cup breasts. Her height is 5 feet 3 inches and her weight is 117lbs."
764,Willow Hayes,https://www.eporner.com/pornstar/willow-hayes/,40,57,767,387769,3790288,23,USA,29,Brown,Brown,"170 cm / 5'7""",50 kg / 110 lbs,B,34B-24-34,"Miss Willow,Willow",,,,
765,Tracy Loves,https://www.eporner.com/pornstar/tracy-loves/,101,30,768,86029,6241583,6,Czech Republic,37,Blue,Blonde,"165 cm / 5'5""", 54 kg / 119 lbs,32C,32C-23-32,"J. Joanna,Tracy Smile",,,,
766,Victoria Daniels,https://www.eporner.com/pornstar/victoria-daniels/,48,66,769,300460,5557026,11,Czech Republic,29,Brown,Brunette,"163 cm / 5'4""",55 kg / 121 lbs,B,34B-24-36,"Jana,Laura Neal",,,,
767,Alexia Anders,https://www.eporner.com/pornstar/alexia-anders/,48,119,770,355227,4919795,128,"Los Angeles, California, USA",21,,Brown,"161 cm / 5'3""", 51 kg / 112 lbs,,34-23-32,,,,,
768,Honey Demon,https://www.eporner.com/pornstar/honey-demon/,102,888,771,343558,4548170,14,Romania,30,Brown,Brunette,"165 cm / 5'5""",52 kg / 114 lbs,DD,34DD-24-34,"Honey,Honey A,Honey A Met Art,Honey Damon,Honey Diamond",,,,
769,Henessy,https://www.eporner.com/pornstar/henessy/,3,21,772,149264,7030014,18,Russia,32,Brown,Brown,"160 cm / 5'3""", 49 kg / 108 lbs,34C,34C-24-34,,https://psychohenessy.com/,https://twitter.com/henessyalina,https://www.instagram.com/henessyalina,
770,Tia Cyrus,https://www.eporner.com/pornstar/tia-cyrus/,25,133,773,397164,4315206,89,USA,32,Hazel,Brunette,"155 cm / 5'1""",41 kg / 90 lbs,A,34B-24-34,,,,,
771,Zoey Kush,https://www.eporner.com/pornstar/zoey-kush/,105,45,774,241575,3451927,12,Equador,31,Brown,Brunette,"163 cm / 5'4""",52 kg / 114 lbs,A,32A-22-33,"Jade,Jade ATK,Kelli,Star Jade,Star X Art,Tamara,Tamara FTV,Tamara Jade,Tamara Odell,Zoe Rush,Zoey,Zoey Rush",,,,
772,Kate Dee,https://www.eporner.com/pornstar/kate-dee/,2,52,775,324362,5184158,125,Czech Republic,28,Blue,Black,"167 cm / 5'6""", 54 kg / 119 lbs,,,,,,,
773,Brittney White,https://www.eporner.com/pornstar/brittney-white/,221,2455,776,530034,2897965,62,USA,25,Brown,Black,"160 cm / 5'3""", 57 kg / 126 lbs,36E,36E-28-35,,,,,
774,Marina Angel,https://www.eporner.com/pornstar/marina-angel-s1RRs/,5,344,777,279613,5654820,6,USA,27,Brown,Blonde,"160 cm / 5'3""",50 kg / 110 lbs,A,32A-25-36,,,,,"Marina Angel looks like the type of girl you would find in a college class. Her looks are the epitome of the girl next door. She has a lovely face and a well-shaped nose. Marina was born on September 10th, 1995, and she is part of a Latino family. Marina has brown eyes and dirty blonde hair, which is quite long and rolls down her back. Her height is 5 ft 3 in, and she weighs 110 pounds. Her body measurements are 32A-25-36, and she has A-cup breasts. She was born in Miami, and her breasts are all-natural. She's a piercing on your navel as well. One of the aliases she works under is Tiffany Marina. A few of her most popular films are Happy Ending Handjobs 9, I kissed a girl, and I liked it 3, and Casting Couch Amateurs 12."
775,Amy Reid,https://www.eporner.com/pornstar/amy-reid/,202,100,778,311000,4507851,31,Germany,37,Brown,Brown,"170 cm / 5'7""",53 kg / 117 lbs,DD,34DD-23-35,"Amy,Amy ATK,Amy FTV,Amy Karups,Amy Nubiles,Amy Reed,Amy Ried,Devin Valencia",,https://twitter.com/realamyried,https://instagram.com/xxxamyried,"I was born in Frankfurt, Germany on April 15, 1985. I am best known as the first and only contract star for Third Degree Films. I made my adult debut in Red Light District's Young Ripe Mellons #7 in 2005 and performed my first anal scene for Jules Jordan in Weapons of Ass Destruction #5. I have performed in numerous movies from Third Degree Films, including Dreamgirlz, Pure Sextacy 2, Filthy and Ready Wet Go 4. I was also the 2007 F.A.M.E. award for Favorite Female Rookie, 2007 AVN award for Best Anal Sex Scene in Breakin' 'Em In #9."
776,Lilith Lee,https://www.eporner.com/pornstar/lilith-lee/,46,240,779,279404,5448210,3,Czech Republic,33,Hazel,Blonde,"173 cm / 5'8""",60 kg / 132 lbs,C,34C-25-35,"Drahoslava,Kelly Love,Lady Pink,Lady Pink Hot. Misa Kuklinkova,Lady Pinkdot,Lili Karups,Lilith ATK,Lilith Wetandpuffy,Rachel La Rouge,Rachel LaRouge,Sweetie X Art,Tonya",,,,
777,Megan Vale,https://www.eporner.com/pornstar/megan-vale/,1,41,780,250914,5971590,15,Russia,31,Green,Brown,"157 cm / 5'2""",48 kg / 106 lbs,B,32B-24-34,"Avina Delis,Franchesca DDF,Francheska,Francheska YLP,Lupe Burnett,Madelyn,Malin Sapphic,Megan,Megan Twistys,Zoey Vale",,,,
778,Kylie Page,https://www.eporner.com/pornstar/kylie-page-Z4eRs/,141,55,781,151121,4476543,77,,-,,,,,,,,,,,
779,Emma Mae,https://www.eporner.com/pornstar/emma-mae/,108,41,782,236637,3501015,17,USA,31,Grey,Blonde,"173 cm / 5'8""",50 kg / 110 lbs,C,34C-26-36,"Ashley Barr,Emma,Emma May,Emma Monday,Emma Rae,Emma X Art",,,,
780,Krystal Swift,https://www.eporner.com/pornstar/krystal-swift-1/,11,75,783,306240,5069354,44,Czech Republic,34,Brown,Blonde,"165 cm / 5'5""", 65 kg / 143 lbs,F,34F-27-38,"Cherlyn,Cristal Swift,Kristal Swift",,https://twitter.com/krystalswift1,https://instagram.com/krystalswiftofficial2,
781,Alicia Williams,https://www.eporner.com/pornstar/alicia-williams/,51,64,784,370567,4674147,86,USA,21,Blue,Blonde,"157 cm / 5'2""", 40 kg / 88 lbs,34B,34B-23-30,,,,,
782,Carley Nubiles,https://www.eporner.com/pornstar/carley-nubiles/,2,649,785,212515,6345676,15,Russia,-,Blue,RedBlonde,"0 cm / 0'0""",,B,33B-24-34,"Annette,Blonde Anna,Carley,Krasna,Nicole",,,,"Carley has one tight teen body, she is new to modeling, however seems to have a handle on things. Catch her vids and see her play with her lovely shaved pussy and get hardcore with her special friend!"
783,Kylie Rocket,https://www.eporner.com/pornstar/kylie-rocket/,143,124,786,398104,4315137,111,"Ft. Lauderdale, Florida, USA",21,,Black,"160 cm / 5'3""", 45 kg / 99 lbs,,32-24-34,,,https://twitter.com/RocketKylie,https://instagram.com/kylie.rocket,
784,Nessa Shine,https://www.eporner.com/pornstar/nessa-shine/,2,23,787,202047,6405330,11,Ukraine,32,Hazel,Brunette,"170 cm / 5'7""",56 kg / 123 lbs,B,32B-24-32,"Agnessa,Agnessa Nubiles,Claire,Karina L,Karina L Met Art,Katerina B,Melissa,Micara ATK,Mindy YLP,Nesa Sapphic,Vera DDF,Vera Karups,Vera Toms",,,,"All types of beautiful women come from the Ukraine, and Nessa Shin is one of those beautiful women who men can’t seem to get enough of. With her gorgeous hazel eyes, Punky brunette hair, and a body with the measurements of 32B-24-32 and B cup breasts, she truly is a fun girl to be around. When she was in high school, she was a top-performing student and was very popular. At the age of 18, she started working as a model for a few companies in magazines. Right after she graduated high school in the Ukraine, she got a job working as a nude model for a Hungarian men's magazine. She was born on December 25th, 1990 so she started working in the industry in the year 2008. but being in front of the camera isn't the only child she has, she also produced several films and directed some as well."
785,Katrina Moreno,https://www.eporner.com/pornstar/katrina-moreno-UOatw/,14,54,788,322021,5070950,84,Uruguay,29,Brown,Black,"170 cm / 5'7""", 54 kg / 119 lbs,36D,36-24-37,,https://www.katrinamorenox.com,https://twitter.com/katrinamorenoof,https://www.instagram.com/katrinamorenooficial,
786,Samia Duarte,https://www.eporner.com/pornstar/samia-duarte/,9,30,789,242125,5840430,7,Spain,35,Brown,Brunette,"175 cm / 5'9""",53 kg / 117 lbs,D,36D-24-36,"Samia D,Sania Duarte",,,,"Hey, when you've got it you've got it. And some women have got it all. One of these women who has both brains and beauty is Samia Duarte. Samia is an adult actress who has been in over any movies since you started working in the industry. She was born on June 21st, 1987 in the spicy country of Spain. She is 5 ft 7 in tall and she only weighs 117 lb. She started working in the adult film industry when she was 24. This gave her a bit of an advantage especially since many girls start when they're just 18 years old and they don't know what they're doing. Let's perform a variety of movies including hardcore, toys, and threesomes. Samia has a beautiful pair of hair and eyes, which are both brown. But one of her best assets is her breasts, which are D cups. The measurements of her body are 36D-24-36."
787,Ashlyn Rae,https://www.eporner.com/pornstar/ashlyn-rae/,105,77,790,232557,5368072,23,USA,32,Green,Red,"160 cm / 5'3""",52 kg / 115 lbs,A,32A-24-3,"Ashlyn,Ashlyn ATK,Ashlyn FTV,Ashlyn Fuckedhard18,Ashlynn Femjoy,Ashlynn Rae,Ashlynrae Nubiles,Miley Allure",,,,
788,Nyomi Banxxx,https://www.eporner.com/pornstar/nyomi-banxxx/,29,91,791,324136,4346446,79,United States,50,Brown,Brunette,"173 cm / 5'8""",61 kg / 134 lbs,D,36D-25-38,"Naomi,Naomi Banks,Naomi Bankxx,Naomi Banxx,Naomi Banxxx,Naomi Knoxxx,Nyaomi Banxxx,Nyomi,Nyomi Banks,Nyomi Banxx",,,,
789,Gia Dimarco,https://www.eporner.com/pornstar/gia-dimarco/,70,32,792,215304,5406022,19,USA,36,Brown,Brunette,"163 cm / 5'4""",50 kg / 110 lbs,D,34D-24-35,"Gia DeMarco,Haley Wilde",,https://twitter.com/Gia_DiMarco,https://instagram.com/mamalegnd,
790,Miriama Kunkelova,https://www.eporner.com/pornstar/miriama-kunkelova/,247,12,793,207981,5660489,10,Slovakia,35,Green,Blonde,"160 cm / 5'3""",49 kg / 107 lbs,A,28A-24-32,"Andrea Kayla,Andrea Kelly,Lolita DDF,Lolita Karups,Mima A,Mima A Met Art,Mima Andrea,Mina ATK,Mina W4B,Mina X Art,Miranda Nubiles,Mirka Maitland,Nancey,Nancey YLP,Nelly Bravo",,,,"Miriama is a naturally gorgeous woman, and she just looks like a dream. She was born in Slovakia on May 12th, 1987. She is a Caucasian woman with naturally green eyes and blonde hair. But don't let her soft doe looks fool you. This girl likes to get down and dirty, and she can take a pounding. In fact, she is well known for her dirty preferences. To her, the nastier the act is, the better. She has perky A cups, and her body measurements are 28A-24-32. All in all, she only weighs 170 lb, so she is quite skinny. But her small body likes to be put through the wringer, so don't come into her bedroom with a weak attitude, or you'll be kicked out quickly. Miriama likes to perform in the hardcore category, and her youthful looks allow her to work in the young teen and barely legal categories as well."
791,Ava Koxxx,https://www.eporner.com/pornstar/ava-koxxx/,19,666,794,407494,3972882,22,United Kingdom,37,Brown,Brunette,"190 cm / 6'3""",66 kg / 145 lbs,DDD,34DDD-28-36,,https://onlyfans.com/avakoxxx,,,
792,Daisy Marie,https://www.eporner.com/pornstar/daisy-marie/,149,134,795,300999,3655475,26,USA,38,Brown,Brown,"163 cm / 5'4""",50 kg / 110 lbs,B,36B-24-34,"Brittania,Daisey,Daisey Dukes,Daisy,Daisy Dukes,Daisy FTV,Daisy Fuentez,Daisy Mavie,Daisy Tattoo,Dayse Dukes,Melissa Melano,Melissa Milano,Valerie Cruz",,https://twitter.com/1daisymarie,https://instagram.com/1daisymarie,"Daisy is one of the more popular young Mexican American porn stars in film today. She grew up mainly in Salem, Oregon, but also spent time with family in Zacatecas, Mexico. She has also said she is one quarter Filipino. She has appeared in over 90 adult movies since 2002, made 2 special appearances on the Howard Stern Show (July 2003 and November 2004), and has posed for various adult magazines (e.g. Cheri) and photographers (e.g. Suze Randall). She also co-hosts an internet radio show called Asian Sex Talk Radio on Los Angeles' KSEX. Daisy was one of the finalist on the second season of Playboy TV's reality competition show, Jenna?s American Sex Star. She is currently represented by the adult entertainment talent agency LA Direct Models."
793,Mia Li,https://www.eporner.com/pornstar/mia-li/,21,98,796,371444,4190457,45,USA,-,Brown,Brunette,"155 cm / 5'1""",57 kg / 125 lbs,D,34D-26-34,,,,,
794,Kari Milla,https://www.eporner.com/pornstar/kari-milla/,5,25,797,278855,5486397,7,Czech Republic,33,Grey,Brunette,"163 cm / 5'4""",50 kg / 110 lbs,B,34B-24-36,"Alanis Mc-nudes,Dejana,Kari A Met Art,Kari ATK,Kari DDF,Kari Joymii,Kari Karups,Kari LSG,Kari Mila,Kari S Nubiles,Kari Sapphic,Kari Sweet,Kari Sweets,Kari Twistys,Kari W4B,Kari Wetandpuffy,Katherine X Art,Miloslava",,,,
795,Naomi Swann,https://www.eporner.com/pornstar/naomi-swann/,57,215,798,328247,4868930,65,USA,23,Brown,Blonde,"160 cm / 5'3""", 48 kg / 106 lbs,32A,32A-24-34,,,https://twitter.com/Naomi_Swann,https://instagram.com/naomiswann.x,
796,Sovereign Syre,https://www.eporner.com/pornstar/sovereign-syre/,48,82,799,311482,4716727,21,USA,36,Blue,Brunette,"175 cm / 5'9""",63 kg / 139 lbs,D,34D-26-40,,https://onlyfans.com/sovereignsyre,https://twitter.com/SovereignSyre,https://www.instagram.com/Sovereign_Syre,
797,Cute Sunny,https://www.eporner.com/pornstar/cute-sunny/,221,93,800,330132,4419061,30,United States,34,Brown,Red,"155 cm / 5'1""",45 kg / 100 lbs,A,32A-23-34,"Avina,Avina Netu,Caprice,Caprice YLP,Cindy L,Ekaterina ATK,Lorraine Floyd,Netu,Sunny DDF,Sunny Rise,Suny Sapphic",http://cutesunny.com/,,,
798,Ginebra Bellucci,https://www.eporner.com/pornstar/ginebra-bellucci/,143,24,801,309693,4697806,58,Spain,26,Brown,Black,"157 cm / 5'2""", 51 kg / 112 lbs,34B,34B-23-35,,http://www.onlyfans.com/bellucciginebra,,,
799,Paige Turnah,https://www.eporner.com/pornstar/paige-turnah/,142,12,802,264576,3166621,29,United Kingdom,34,Hazel,Brown,"0 cm / 0'0""",75 kg / 165 lbs,E,36E-27-38,"Paige T Sapphic,Paige Turnam",http://www.paigeturnah.com/,,,
800,Katya Rodriguez,https://www.eporner.com/pornstar/katya-rodriguez/,14,181,803,412139,3856675,29,Mexico,26,Brown,Brown,"160 cm / 5'3""", 48 kg / 106 lbs,32B,32B-24-36,,,,,
801,Rose Red,https://www.eporner.com/pornstar/rose-red/,53,352,804,286045,4913181,9,USA,30,Hazel,Brown,"165 cm / 5'5""",55 kg / 121 lbs,B,36B-26-37,Rose Red Tyrell,,,,
802,Lola Fae,https://www.eporner.com/pornstar/lola-fae-4QlIj/,46,96,805,321092,4847313,93,USA,26,Brown,Red,"154 cm / 5'1""", 41 kg / 90 lbs,28A,28-22-28,,,https://twitter.com/LolaFaeXXX,https://instagram.com/funklolafae,
803,Susy Gala,https://www.eporner.com/pornstar/susy-gala/,31,44,806,313525,4690295,47,Spain,27,Brown,Brown,"175 cm / 5'9""", 55 kg / 121 lbs,36D,36D-25-35,,,,,
804,Pinky June,https://www.eporner.com/pornstar/pinky-june/,66,28,807,303568,4217543,19,Czech Republic,30,Blue,Blonde,"163 cm / 5'4""",45 kg / 99 lbs,B,34B-24-34,"Anneli,Anneli ATK,Anneli DDF,Anneli Joymii,Anneli Sapphic,Anneli Twistys,Anneli X Art,Annelli,Annely Gerritsen,Grace C,Grace C Met Art,Grace C YLP,Grace Hartley,Grace Karups,Grace W4B,Ingrid Wetandpuffy,Pinky",http://pinkyjune.com/,,,
805,Cherry Torn,https://www.eporner.com/pornstar/cherry-torn/,124,86,808,105834,6943669,3,United States,36,Blue,Blonde,"170 cm / 5'7""",52 kg / 114 lbs,D,34D-24-33,,https://cherrytorn.com/,,,"My my! What a provocative name. The woman who chose this name must be as wild and as risky as her name, right? Well, you are right. Cherry Torn is a wild and buxom Caucasian woman who was born in the United States on July 29th, 1986. Her blue eyes are all-natural and so is her blonde hair. Cherry is a naturally thin girl who only weighs 114 lb even though she is 5 feet 7 inches. But her thin body should not put you off, because this woman has a pair of D breasts that you just can't stop staring at. Plus, let’s not forget about her 34D-24-33 body. Cherry started working as an adult actress in 2011 at the age of 25. Her best and most well-known franchise is called The Upper Floor. For the franchise, she has come out in 10 movies."
806,August Taylor,https://www.eporner.com/pornstar/august-taylor/,749,60,809,287979,4571614,33,USA,31,,,,,,,,http://fancentro.com/augusttaylor,https://twitter.com/theaugusttaylor,https://www.instagram.com/missaugusttaylor/,
807,Chloe Couture,https://www.eporner.com/pornstar/chloe-couture/,7,46,810,275584,5394777,23,USA,24,Hazel,Blonde,"167 cm / 5'6""", 50 kg / 110 lbs,32A,32-24-34,,,,,
808,Angelina Valentine,https://www.eporner.com/pornstar/angelina-valentine/,73,84,811,362909,3936181,39,United States,36,Brown,Brunette,"163 cm / 5'4""",52 kg / 114 lbs,DD,34DD-24-35,"Andelina Valentine,Angelina,Angelina Valentina,Angelina Valentino,Angelina Valintine,Angle Valentine,Mistress Angelina Valentine",https://angelinavalentine.com/,,,"Angelina Valentine is a Venezuelan/ Italian brunette born in Kentucky on September 19,1986. Before moving to Los Angeles to become a porn star, she was a dancer at the age of 18. The primary reason why Angelina entered the industry is because she likes to have sex, and she sees it as a fair trade to get paid for doing something she loves. Growing up, she wanted to be President, and she hung out with the rebels in high school. When she is not working in porn, she is just hanging with her friends,and shea?ï¿½ï¿½?s not sure what she will be doing in five years from now. Expressive men turn her on as she likes guys who are open about their feelings. Her life outside of work also involves her beautiful daughter who Angelina is absolutely grateful for. Self-described as a confident and laid back girl who loves dancing,and who believes life is to short to hate anyone. Angelina enjoys Maury, court T.V,and anything porn."
809,Liza Shay,https://www.eporner.com/pornstar/liza-shay/,134,43,812,238425,4644275,15,Russia,32,Blue,Brunette,"173 cm / 5'8""",55 kg / 121 lbs,A,32A-25-34,"Dolly Karups,Dulce,Dulce DDF,Dulce Sapphic,Dulce YLP,Lizzie,Lizzie Shay,Mystica,Stasya Nubiles",,,,
810,Kiera Winters,https://www.eporner.com/pornstar/kiera-winters/,355,56,813,268004,4065243,10,United States,29,Blue,Brown,"157 cm / 5'2""",45 kg / 99 lbs,B,34B-24-36,"Kiara FTV,Kiera,Kiera X Art",,https://twitter.com/kiera_winters,https://instagram.com/kiera_winters,"Everyone still adores the fashion and looks of the women from the 1960s. But not everybody can pull off the 1960s look. However, the beautiful Kiera Winters can easily star in a movie next to Humphrey Bogart, and she'll never look out of place. She has that extremely classic and clean beauty that deserves to be adorned in fur and pearls. Kiera was born in the United States, and her birthday is February 2nd, 1993. She has gorgeous blue eyes and short bouncy brown hair. The beautiful miss winter is 5ft 2in tall, and she barely weighs 100 pounds. Her b-cup breasts are soft and perky, and her body measurements are 34B-24-36. She started working in the adult film industry when she was 19 and, because of her youthful looks, has many videos in the young team and barely legal categories. She also likes to do a lot of Girl-on-girl scenes as well as girl on boy scenes."
811,Tanya Tanya,https://www.eporner.com/pornstar/tanya-tanya/,337,2105,814,96323,3983610,3,Russia,44,,Blonde,"173 cm / 5'8""",,,,,,,,
812,Charlee Chase,https://www.eporner.com/pornstar/charlee-chase/,252,64,815,234871,3470289,20,United States,45,Green,Blonde,"173 cm / 5'8""",61 kg / 134 lbs,DD,34DD-27-35,"Charlee,Charlie Chase",https://www.CharleeChaseLive.com/,https://twitter.com/charlee_chase,https://instagram.com/charlee_chase,
813,Evelina Darling,https://www.eporner.com/pornstar/evelina-darling/,35,155,816,318748,4770687,50,Russia,26,Green,Brown,"157 cm / 5'2""", 51 kg / 112 lbs,34A,34A-25-36,,,https://twitter.com/evelina_darling,https://instagram.com/evelina.darling,
814,Madison Scott,https://www.eporner.com/pornstar/madison-scott/,70,53,817,225153,5014594,33,USA,34,Hazel,Blonde,"155 cm / 5'1""",41 kg / 90 lbs,DD,32DD-20-26,"Maddison Scott,Madison,Madison Star,Madisson Scott",,,,
815,Penny Barber,https://www.eporner.com/pornstar/penny-barber-Likne/,53,141,818,329792,4697714,120,USA,37,,Black,"167 cm / 5'6""", 61 kg / 134 lbs,,38-26-38,,,,,
816,Puma Swede,https://www.eporner.com/pornstar/puma-swede/,128,93,819,299838,4593107,15,Sweden,46,Blue,Blonde,"0 cm / 0'0""",56 kg / 123 lbs,F,32F-25-35,"Johanna,Johanna Jussinniemi,Johanna Plaidski,Ms Swede,Puma,Puma Sweede",https://pumaswede.com/,https://twitter.com/pumaswede,https://instagram.com/itsmepumaswede,
817,Lilu Moon,https://www.eporner.com/pornstar/lilu-moon-dcBQQ/,204,48,820,297810,4753403,26,Russia,39,Brown,Brown,"160 cm / 5'3""", 45 kg / 99 lbs,32C,32C-24-34,,https://lilumoonx.com/,https://twitter.com/lilu_moon,https://instagram.com/lilu_moon_official,
818,Angel Emily,https://www.eporner.com/pornstar/angel-emily/,119,68,821,279367,5192408,43,France,25,Blue,Blonde,"157 cm / 5'2""", 46 kg / 101 lbs,32A,32-24-33,,https://onlyfans.com/angelemilyxxxx,https://twitter.com/@AngelEmilyxxxx,https://www.instagram.com/angelemilyx1,
819,Annabel Redd,https://www.eporner.com/pornstar/annabel-redd/,30,74,822,306127,4952371,111,"Florida, USA",22,Blue,Auburn,"157 cm / 5'2""", 61 kg / 134 lbs,30E,30E-26-38,,,https://twitter.com/AnnabelRedd,https://instagram.com/annabel_redd,
820,Kali Rose,https://www.eporner.com/pornstar/kali-rose/,28,13,823,205966,5940816,20,USA,26,Hazel,Blonde,"167 cm / 5'6""", 52 kg / 115 lbs,32C,32C-25-36,,,,,
821,Adele Booty,https://www.eporner.com/pornstar/adele-booty/,2,16,824,190029,6215792,10,Ukraine,28,Brown,Brown,"163 cm / 5'4""",48 kg / 106 lbs,B,36B-25-36,"Adele,Adelia,Adelia B,Adelle,Adelle Booty,Parvin,Parvin DDF,Yuliana",,,,"Adele is a booty girl, and everyone who sees her knows it. She loves to show off her naked ass and spread it wide, and bounce it for the camera. When it comes to her ass, there's nothing she won't do to provide with as much attention as possible. So if you ever see her, be sure to tell her, but you have an amazing ass. She definitely works hard enough to keep it the way it is. Adele is from Ukraine, and she was born on November 2nd, 1994. She's natural blonde hair and brown eyes, and she's only 5 feet 4 inches tall. She likes to stay as soon as possible, so she only weighs 106 lb. Her breasts are B cups, and her body measurements are 36B-25-36. Unfortunately, she is retired, but you did work in the adult film industry from 2014 to 2017."
822,Sarah Lollypop,https://www.eporner.com/pornstar/sarah-lollypop/,7,104,825,236206,5703872,8,Czech Republic,29,Brown,Brunette,"165 cm / 5'5""",52 kg / 114 lbs,A,34A-26-34,"Andrea C,Andrea Her,Lolipop,Lolly,Lolly Pop,Lollypop,Lollypop Wetandpuffy,LollyPop YLP,Olga,Sweet Lollypop",,,,
823,Vanessa Decker,https://www.eporner.com/pornstar/vanessa-decker/,26,56,826,271097,5027679,12,Czech Republic,28,Brown,Brunette,"165 cm / 5'5""",55 kg / 121 lbs,C,35C-25-35,,,,,
824,Charlotte Stokely,https://www.eporner.com/pornstar/charlotte-stokely/,69,76,827,300388,4248994,27,USA,36,Blue,Blonde,"160 cm / 5'3""",48 kg / 106 lbs,B,34B-25-36,"Carissa FTV,Charlette,Charlie Stokey,Charlotte,Charlotte Nubiles,Charlotte Sokely,Charlotte Stockley,Charlotte Stokley,Charlotte X Art",,,,"Oh my god Charlotte is quite the sweetie! With her blong hair. blue eyes and freckles, she surely attracts a lot of attention. In her videos, she rides the sybian for the first time, which swells up her pussy (but in a good way) a bit. Just hot hot hot!  Stokely is a graduate of Deerfield Beach High School. She first had sex with a male at age 15, and at age 19 with a girl. She started performing in adult oriented content after her roommate (who was a stripper) was cast in a porn film; Stokely was then asked to appear on camera. Her early work was mainly for Internet companies while in Florida at first and eventually progressed to star in adult DVDs. Admittedly, Stokely says ""The porn industry had always appealed to me. Ever since I was a young girl, I was very open with my sexuality."" Stokely first became popular for the numerous pornographic scenes she while performing in the alt porn genre. In 2006 she appeared in Skater Girl Fever which helped catapult her adult DVD career. Stokely performed in over 106 videos between 2005-2008. Her agency's website says that she is only available for softcore and girl-girl work, and that her HIV test expired in April 2008. In 2008, she appeared as a model for American Apparel."
825,Alexis Love,https://www.eporner.com/pornstar/alexis-love/,190,140,828,333559,3202548,23,United States,35,Brown,Brunette,"160 cm / 5'3""",43 kg / 95 lbs,B,32B-25-32,"Alexa Love,Alexia,Alexis,Alexis Nubiles,Alexis Rose,Alexis X Art,Alexis-Love,Little Latin Princess,Milena FTV",,,,
826,Trinity St Clair,https://www.eporner.com/pornstar/trinity-st-clair/,60,857,829,366614,4208017,20,United States,32,Brown,Brown,"155 cm / 5'1""",42 kg / 93 lbs,A,32A-23-25,"Claire,Taylor Jean,Trinity Allure,Trinity FTV,Trinity Karups,Trinity Saint Clair,Trinity St Claire,Trinity Stclair",http://trinitysfans.com,,http://instagram.com/trinitystclair,
827,Courtney Cummz,https://www.eporner.com/pornstar/courtney-cummz/,8,110,830,231538,5613287,13,USA,41,Hazel,Blonde,"168 cm / 5'6""",56 kg / 123 lbs,D,34D-26-36,"Christine Carpenter,Ciurtney Cums,Courtney,Courtney ATK,Courtney Cummings,Courtney Cummins,Courtney Cumz,Courtney Nubiles",,,,"Courtney Cummz (born December 4, 1981 in Shepherdstown, West Virginia) is an American pornographic actress. Her first job was a server at an Applebee's franchise in West Virginia. Later as a college student in Florida, she worked in a nudist resort as a cocktail server where she worked topless. While at college she studied Fashion Design and Marketing and has only to do her internship to earn her degree. She started working in porn as a result of Florida being hit by a few hurricanes which kept people away from the resort where she worked. Her stage name came about because her friends all nicknamed her ""CC"" and she liked the name ""Courtney"". One of her friends suggested ""Cums"" as a last name in reference to her frequent masturbation, which became ""Cummz"". In her first few months, she was doing at least thirty scenes a month and almost all of those scenes involved anal sex. She credits Joey Silvera for broadening her horizons sexually to fetishes like female to male strapon sex and foot play. Her parents are aware of her chosen profession; Cummz has related a story of how during her first year in the adult business she came down with pink eye and a result did not go home for Christmas. She received a Christmas package from her mother and stepfather containing various dominatrix outfits and a note saying only ""Love Mom and Dad"". In October 2005 she signed with the production company Zero Tolerance to be their first contract girl. Cummz began directing in 2006 with her first DVD being Face Invaders (starring Eva Angelina). Cummz was specifically chosen to be a guest on Howard Stern's last radio show before moving to Sirius, where one of his fans in attendance was picked to have sex with Cummz. She hosted a show on the now defunct ,KSEXradio.com called Courtney Cummz & The Hottest Girls of Porn throughout 2007. In 2008 Courtney was nominated for Performer of the Year by both AVN.com and Xbiz.com. Currently, Cummz is nominated in the F.A.M.E. Awards for Favorite Female Starlet and Favorite Anal Starlet.  nubiles  Courtney has a soft feminine look and attitude. She is young and fresh and excited about life and being sexual."
828,Kailani Kai,https://www.eporner.com/pornstar/kailani-kai/,3,19,831,259699,5325303,105,USA,53,Brown,Brown,"167 cm / 5'6""", 75 kg / 165 lbs,36J,36J-31-45,,,,,
829,Raven Hart,https://www.eporner.com/pornstar/raven-hart-5klQz/,1401,31,832,203286,5384148,54,"Los Angeles, California, USA",45,Brown,Black,"162 cm / 5'4""", 58 kg / 128 lbs,A,36E-27-36,,https://ravenhart.com/,,,
830,Aspen Rae,https://www.eporner.com/pornstar/aspen-rae/,378,902,833,251414,4070901,27,United States,32,Hazel,Brunette,"160 cm / 5'3""",48 kg / 105 lbs,B,32B-23-32,,,,,
